user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
121,-0.9807422,-0.9807422,-0.9807422,-0.9807422,-0.9807422,-0.9807422,-0.9807422,-0.9807422,-0.9807422,-0.9990701,-0.9990701,-0.9990701,-0.9990701,-0.9990701
122,0.98797333,0.98797333,0.98797333,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165,-0.9988165
123,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072,-0.9276072
124,-0.99971384,-0.99971384,-0.9997725,-0.9997725,-0.9997725,-0.9919081,-0.9919081,-0.9919081,-0.9919081,-0.9919081,-0.9919081,0.5375558,0.5375558,0.5375558
125,-0.9993538,-0.9993538,-0.9993538,-0.9986559,-0.9986559,-0.9986559,-0.9986559,-0.9986559,-0.9986559,-0.9986559,-0.9995196,-0.9995196,-0.9995196,-0.9995196
126,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9969541,-0.9985493,-0.9985493
127,-0.9951428,-0.9951428,-0.9951428,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389,0.9986389
128,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.9982875,-0.98472035,-0.98472035,-0.98472035,-0.9988587
129,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951,-0.9995951
130,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274,-0.98407274
131,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228,0.9930228
132,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824,-0.99834824
133,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596,0.9995596
134,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.99904984,-0.9969914,0.9939996,0.9939996
135,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035,-0.9998035
136,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048,-0.999048
137,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793,-0.014695793
138,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571,0.9973571
139,-0.9956078,-0.9952055,-0.9952055,-0.9952055,-0.87714374,-0.87714374,-0.87714374,-0.87714374,-0.87714374,-0.87714374,-0.87714374,-0.87714374,-0.87714374,-0.87714374
140,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387,-0.99736387
