user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28
56,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,-0.8387983,0.7273109,0.7273109,0.7273109,0.7273109,0.7273109,0.7273109
57,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.99515426,-0.9656195,-0.9656195,-0.9656195,-0.9656195,-0.9656195
58,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697,-0.99969697
59,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466,-0.98074466
60,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.993324,-0.99300086,-0.99300086,-0.99300086,-0.99300086,-0.99300086
61,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247,0.9905247
62,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9986418,-0.9943961,-0.9943961,-0.9943961,-0.9943961,-0.9943961,-0.9943961,-0.9943961
63,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363,-0.99403363
64,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141,-0.016769141
65,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9957581,-0.9932969,-0.9872241,-0.9996718,-0.9996718,-0.9996718,-0.9996718
